key,english
PEP_4Apartments_TopMinder,Top Airbnb Foursome
PEP_7EndStore_Jackelmyer,Jackelmyer's 7 End Store
PEP_A16_abandoned_house_01,The Ech Residence
PEP_A16_abandoned_house_02,The Wheel Residence
PEP_A16_abandoned_house_03,The Caeldan Residence
PEP_A16_abandoned_house_04,The KySoto Residence
PEP_A16_abandoned_house_05,Erik's Residence
PEP_A16_abandoned_house_06,Myth's Residence
PEP_A16_abandoned_house_07,The Krunch Residence
PEP_A16_abandoned_house_08,The Grumpy Residence
PEP_A16_cave_01,Man Cave of Not Caring
PEP_A16_cave_02,MC's Moderate Man Cave
PEP_A16_cave_03,Mordekaiser's Man Cave
PEP_A16_cave_04,Tobic's Wicked Man Cave
PEP_A16_fire_station_01,Abandoned Firestation
PEP_A16_houseblue1,The Norris Residence
PEP_A16_housebrick1,The Jenkins Residence
PEP_A16_housegreen1,The Astley Residence
PEP_A16_houseranchblue1,The Mitchnik Residence
PEP_A16_houseranchtan1,The Floyd Residence
PEP_A16_houseranchtan2,The Hendrix Residence
PEP_A16_houseranchwhite1,The Bowie Residence
PEP_A16_housestucco2,The Jefferson Residence
PEP_A16_housestucco3,The Morrison Residence
PEP_A16_housetan2,The Ozric Residence
PEP_A16_housetanpyramid2,The Puck Residence
PEP_A16_housewhite1,The Rizzo Residence
PEP_A16_housewhite1basement,The Logue Residence
PEP_A16_housewhite2,The Johnson Residence
PEP_A16_housewhitepyramid1,Fuck House
PEP_A16_housewhitepyramid2,The Peterson Residence
PEP_A18_store_book_lg_01,Crack-a-Book
PEP_A18_store_book_sm_01,Petite Crack-a-Book
PEP_A18_store_grocery_lg_01,Super Shamway
PEP_A18_store_grocery_sm_01,Shamway
PEP_A18_store_gun_lg_01,Super Shotgun Messiah
PEP_A18_store_gun_sm_01,Shotgun Messiah
PEP_A18_store_hardware_lg_01,Working Stiff for Business
PEP_A18_store_hardware_sm_01,Working Stiff
PEP_A18_store_pharmacy_sm_01,Pop-N-Pills Mini-Mart
PEP_A19_bar_theater_01,Dobbers Bar and Theater
PEP_A19_bombshelter_lg_01,Alex Jones Prep Bunker
PEP_A19_Crack_A_Tower,Crack-a-Book Tower
PEP_A19_fire_station_02,Firestation North
PEP_A19_house_old_spanish_01,Viejo Hogar Profundo
PEP_A19_prison_01,Juvenile Correctional Facility
PEP_A19_school_daycare_01,Poopy Pants Daycare
PEP_A19_school_k6_01,Favales Academy
PEP_A19_store_pawn_01,Vick's Pawn Shop
PEP_A20_water_tower_01,Water Tower #4
PEP_A20_water_tower_02,Water Tower #5
PEP_A20_water_tower_03,Water Tower #6
PEP_abandoned_trader_bob_lemonpie,Trader Bob?
PEP_abandoned_trader_hugh_Lemonpie,Trader Hugh?
PEP_abandoned_trader_jen_lemonpie,Trader Jen?
PEP_abandoned_trader_joel_lemonpie,Trader Joel?
PEP_abandoned_trader_rekt_lemonpie,Trader Rekt?
PEP_abandoned_bob_lemonpie,Trader Bob?
PEP_abandoned_hugh_Lemonpie,Trader Hugh?
PEP_abandoned_jen_lemonpie,Trader Jen?
PEP_abandoned_joel_lemonpie,Trader Joel?
PEP_abandoned_rekt_lemonpie,Trader Rekt?
PEP_Adam_House_Z1_DMC,Adam's DMC House
PEP_Airport_01_Zyncosa,International Zyncosa Airport
PEP_airport_rundown_gt,Rundown GT Airport
PEP_Alms_house_ex_vanilla_ornate03,Alms House Ornate03
PEP_AmityvilleHorrorHouse_Swolk,Amityville Horror House
PEP_AnarchyHighriseLab_NLEagle,Anarchy Highrise Lab
PEP_Ancient_Apache_Ground__BLAPLAYGIRL,Ancient Apache Grounds 
PEP_ancient_tomb_bigstep70,Ancient Bigstep Tomb
PEP_Apartment_Gertle,Gertle's Cheesy Apartments 
PEP_Apartment_Spider,Spider's Luxury Apartments
PEP_Apartment_Stores_Laz_Man,Lazman Commercial Apartments
PEP_Apartments_01_Zyncosa,High End Zyncosa Apartments
PEP_Apartments_Batman,Apartments of Disbelief
PEP_Apaxco_Industrial_(Gouki-KrunchEdit),Apaxco Building Materials 
PEP_Army_01_Zyncosa,Military Missile Launch Site
PEP_Army_02_Zyncosa,Incognito Army Base
PEP_Army_03_Zyncosa,Small Military Site
PEP_Army_Airport_01_(Krunch-Ouch-Pille-NLBE),Small Military Airport
PEP_army_camp_universal,Fort Universal
PEP_ArtGallery_Wsiegel,Art Gallery For Old People
